X,Y,org.esa.sn,ShipDetect,geometry_P,Detected_x,Detected_y,Detected_l,Detected_1,Detected_w,Detected_2,style_css_,icon_url
13.3084980231324,44.1328277774275,ID00000036,target_035,POINT (12.474349345452998 43.782271667753484),"7385","2593",44.132827777427529,13.308498023132371,130.000000000000000,160.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.3100503699208,44.1636668857622,ID00000037,target_036,POINT (12.474348787526091 43.782274472385645),"7460","2923",44.163666885762169,13.310050369920797,130.000000000000000,250.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.7527204961377,44.1308620317933,ID00000038,target_037,POINT (12.474282946488215 43.78226220748652),"3011","3370",44.130862031793320,12.752720496137655,50.000000000000000,50.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.8335524487422,44.1026223275136,ID00000039,target_038,POINT (12.474293288559155 43.78226101725967),"3587","2949",44.102622327513586,12.833552448742182,50.000000000000000,50.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.8396721986272,44.104704574596,ID00000040,target_039,POINT (12.474293965529661 43.782261301266445),"3639","2962",44.104704574595978,12.839672198627188,120.000000000000000,120.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.8522638810446,44.1146911935927,ID00000041,target_040,POINT (12.474295230918946 43.782262410255605),"3759","3051",44.114691193592655,12.852263881044617,40.000000000000000,40.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.000296635645,44.1314888989452,ID00000042,target_041,POINT (12.474312522237645 43.78226639921446),"4958","3018",44.131488898945165,13.000296635644998,120.000000000000000,150.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.112710508126,44.1708949755654,ID00000043,target_042,POINT (12.474325017032522 43.78227181952436),"5923","3280",44.170894975565403,13.112710508125973,100.000000000000000,140.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.3099689143587,44.1639816054932,ID00000044,target_043,POINT (12.474348772697054 43.782274495491386),"7460","2926",44.163981605493191,13.309968914358681,130.000000000000000,180.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.7196066852946,44.1668456820526,ID00000045,target_044,POINT (12.47427811848875 43.78226488626639),"2826","3804",44.166845682052582,12.719606685294575,180.000000000000000,160.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.7134811131429,44.1716501228056,ID00000046,target_045,POINT (12.47427726821285 43.78226522004511),"2788","3865",44.171650122805630,12.713481113142873,80.000000000000000,70.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.1737558308073,44.1991048774492,ID00000047,target_046,POINT (12.474331641868273 43.782275383498096),"6461","3497",44.199104877449209,13.173755830807350,50.000000000000000,50.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.1737558308073,44.1991048774492,ID00000048,target_047,POINT (12.474331641868273 43.782275383498096),"6461","3497",44.199104877449209,13.173755830807350,50.000000000000000,50.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.5726608782002,44.2761360257309,ID00000049,target_048,POINT (12.474377482638559 43.782288976576766),"9750","3767",44.276136025730949,13.572660878200166,110.000000000000000,160.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.5813862273763,44.1791388353669,ID00000050,target_049,POINT (12.474261296247555 43.78226368651146),"1766","4139",44.179138835366913,12.581386227376289,40.000000000000000,50.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.7046056274189,44.2126134434205,ID00000051,target_050,POINT (12.474275232567033 43.7822687554763),"2805","4317",44.212613443420480,12.704605627418889,110.000000000000000,120.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.7762484738721,44.2141145075862,ID00000052,target_051,POINT (12.474283751784466 43.78227008977911),"3370","4229",44.214114507586231,12.776248473872052,140.000000000000000,130.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.0626389953738,44.2532868791566,ID00000053,target_052,POINT (12.474317051187517 43.78227839627835),"5699","4237",44.253286879156597,13.062638995373767,160.000000000000000,140.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.0781430374579,44.228362705803,ID00000054,target_053,POINT (12.474319510755741 43.78227641449131),"5770","3947",44.228362705802965,13.078143037457915,170.000000000000000,180.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
